id,name,lat,lon
B32038,Chestnut Hill Ave at Ledgemere Rd,42.34371,-71.15326
B32039,Huntington Ave at Colburn St,42.33268,-71.11083
B32040,Ipswich St at Van Ness St,42.34581,-71.09549
B32041,Chestnut Hill Ave at Winship St,42.34561,-71.15276
B32043,Reservoir Rd at Beacon St,42.33146,-71.15767
B32045,Walnut Ave at Humboldt Ave,42.32072,-71.08633
B32055,Bartlett St at John Elliot Sq,42.32946,-71.09016
B32056,Tremont St at Hamilton Pl,42.35668,-71.06167
B32057,Blue Hill Ave at Southwood St,42.31786,-71.07799
B32058,Lansdowne T Stop,42.34734,-71.10017
B32059,Whittier St Health Center,42.33286,-71.09219
B32060,Commonwealth Ave at Granby St,42.34986,-71.10383
B32061,One Beacon St,42.35848,-71.06135
B32062,Forsyth St at Huntington Ave,42.34002,-71.09069
B32063,St. Alphonsus St at Tremont St,42.33329,-71.10125
B32064,Flat 9 at Whittier,42.3342,-71.08768
B32065,Massachusetts Ave at Boylston St.,42.34752,-71.08801
B32066,Commonwealth Ave at Granby St,42.34986,-71.10383
B32067,Commonwealth Ave at Blandford Mall,42.349,-71.10047
B32068,Park Street T Stop - Tremont St at Park St,42.35663,-71.06246
B32069,Huntington Ave at St. Alphonsus St,42.33611,-71.09922
B32070,Smith St at Parker St,42.3329,-71.09683
B32071,St. Alphonsus St at Horadan Way,42.33506,-71.09989
B32072,Prentiss St at Mindoro St,42.33371,-71.09363
B32092,Congress St at Boston Wharf Rd,42.34951,-71.04671
BCBS01,BCBS Hingham,42.16723,-70.90556
C23015,Pope John Paul II Park - Neponset Trail at Hallet St,42.27977,-71.04609
C23045,Morton St T,42.28073,-71.08617
C23109,Cedar Grove T Stop,42.27961,-71.06022
C32000,Tremont St at E Berkeley St,42.34539,-71.06962
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.33118,-71.09517
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.3364,-71.07307
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807,-71.07657
C32004,Massachusetts Ave at Columbus Ave,42.34083,-71.08162
C32005,Washington St at Lenox St,42.3351,-71.07904
C32006,Washington St at Rutland St,42.33851,-71.07404
C32007,Prudential Center - 101 Huntington Ave,42.34652,-71.08066
C32008,Boylston St at Fairfield St,42.3488,-71.08237
C32009,Dorchester Ave at Gillette Park,42.34404,-71.05738
C32010,Congress St at Sleeper St,42.351,-71.0493
C32011,Harbor St at Channel St,42.34514,-71.03645
C320111,Andrew T Stop - Dorchester Ave (West),42.33019,-71.05709
C320112,Andrew T Stop - Dorchester Ave (East),42.33052,-71.05688
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33133,-71.05708
C320121,Adams St at Robinson St,42.30286,-71.06055
C32013,JFK/UMass T Stop,42.32034,-71.05118
C32014,University of Massachusetts Boston - Campus Center,42.31219,-71.03649
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.32533,-71.07535
