layer,break_index,value
stations,0,1.0
stations,1,10.0
stations,2,35.0
stations,3,87.0
stations,4,227.0
stations,5,998.0
census_tract,0,1.0
census_tract,1,13.0
census_tract,2,51.0
census_tract,3,132.0
census_tract,4,345.0
census_tract,5,1290.0
nta,0,1.0
nta,1,13.0
nta,2,51.0
nta,3,132.0
nta,4,345.0
nta,5,1290.0
cdta,0,1.0
cdta,1,18.0
cdta,2,62.0
cdta,3,176.0
cdta,4,367.0
cdta,5,1290.0
