layer,break_index,value
stations,0,1.0
stations,1,27.0
stations,2,86.0
stations,3,189.0
stations,4,431.0
stations,5,21232.0
census_tract,0,1.0
census_tract,1,30.0
census_tract,2,92.0
census_tract,3,199.0
census_tract,4,465.0
census_tract,5,21232.0
nta,0,1.0
nta,1,83.0
nta,2,256.0
nta,3,566.0
nta,4,1290.0
nta,5,63481.0
cdta,0,1.0
cdta,1,196.0
cdta,2,605.0
cdta,3,1446.0
cdta,4,3278.0
cdta,5,106923.0
