source_element_key,blockface,side,capacity,area,subarea,category,time_limit_min,lat,lng
79653,MARION ST BETWEEN 5TH AVE AND 6TH AVE,NW,7,Commercial Core,Financial,Paid Parking,120,47.6061335,-122.33061193
79654,MARION ST BETWEEN 5TH AVE AND 6TH AVE,SE,9,Commercial Core,Financial,Paid Parking,120,47.6060354,-122.33051509
79657,MARION ST BETWEEN 7TH AVE AND 8TH AVE,NW,4,First Hill,,Paid Parking,120,47.60705621,-122.32842887
79658,MARION ST BETWEEN 7TH AVE AND 8TH AVE,SE,8,First Hill,,Paid Parking,120,47.60696067,-122.32827966
56982,MARION ST BETWEEN 8TH AVE AND 9TH AVE,SE,6,First Hill,,Restricted Parking Zone,120,47.60743217,-122.32723738
11669,MARION ST BETWEEN 9TH AVE AND TERRY AVE,NW,6,First Hill,,Paid Parking,120,47.60797179,-122.32616272
11670,MARION ST BETWEEN 9TH AVE AND TERRY AVE,SE,11,First Hill,,Restricted Parking Zone,120,47.6079004,-122.32610222
34305,MARION ST BETWEEN TERRY AVE AND BOREN AVE,NW,5,First Hill,,Paid Parking,120,47.60843237,-122.32507698
34306,MARION ST BETWEEN TERRY AVE AND BOREN AVE,SE,5,First Hill,,Paid Parking,120,47.60835777,-122.32500871
79674,MAYNARD AVE S BETWEEN S JACKSON ST AND S KING ST,E,5,Chinatown/ID,,Paid Parking,120,47.59874797,-122.32498811
79677,MAYNARD AVE S BETWEEN S KING ST AND S WELLER ST,W,4,Chinatown/ID,,Paid Parking,120,47.5979094,-122.32516176
79678,MAYNARD AVE S BETWEEN S KING ST AND S WELLER ST,E,4,Chinatown/ID,,Paid Parking,120,47.59790356,-122.32495913
79681,MAYNARD AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,6,Chinatown/ID,,Paid Parking,120,47.59626866,-122.32515195
11717,MAYNARD AVE S BETWEEN S MAIN ST AND S JACKSON ST,W,4,Chinatown/ID,,Paid Parking,120,47.59961466,-122.32515508
11718,MAYNARD AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,8,Chinatown/ID,,Paid Parking,120,47.59960682,-122.32495245
57017,MAYNARD AVE S BETWEEN S WELLER ST AND S LANE ST,W,8,Chinatown/ID,,Paid Parking,120,47.59707332,-122.32514483
57018,MAYNARD AVE S BETWEEN S WELLER ST AND S LANE ST,E,6,Chinatown/ID,,Paid Parking,120,47.59707304,-122.32499081
79741,MELROSE AVE BETWEEN PIKE ST AND PINE ST,W,3,Pike-Pine,,Paid Parking,120,47.61473559,-122.3279937
79742,MELROSE AVE BETWEEN PIKE ST AND PINE ST,E,7,Pike-Pine,,Paid Parking,120,47.61459125,-122.32780973
130802,MERCER NR ST BETWEEN TERRY AVE N AND BOREN AVE N,N,6,South Lake Union,South,Paid Parking,600,47.62473843,-122.33650821
130799,MERCER NR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,N,6,South Lake Union,South,Paid Parking,600,47.6247452,-122.33777132
79778,MERCER SR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,4,South Lake Union,South,Paid Parking,120,47.62446547,-122.33917374
11782,MERCER SR ST BETWEEN TERRY AVE N AND BOREN AVE N,S,2,South Lake Union,South,Paid Parking,600,47.62447169,-122.33659908
11778,MERCER SR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,4,South Lake Union,South,Paid Parking,600,47.62446799,-122.33783456
