osm_id,name,lat,lon,poi_type,borough_query
airbnb/17037,Lovely EV Artist's Home,40.72289,-73.98028,airbnb,Airbnb-NYC
airbnb/281851,Beautiful Private Bedroom - Downstairs,40.8078,-73.95232,airbnb,Airbnb-NYC
airbnb/283550,Hells Kitchen Ground Fl 1-bedroom,40.75981,-73.99138,airbnb,Airbnb-NYC
airbnb/287408,Lovely Hell's Kitchen Studio...,40.76198,-73.99361,airbnb,Airbnb-NYC
airbnb/287845,Carroll Gardens Gem-2BD with Garden,40.67933,-73.995,airbnb,Airbnb-NYC
airbnb/288726,Cozy Railroad Apt.,40.719,-73.99764,airbnb,Airbnb-NYC
airbnb/289665,Decorators 5-Star Flat West Village,40.72864,-74.00453,airbnb,Airbnb-NYC
airbnb/289703,Beautiful SoHo Luxury Apartment,40.72533,-73.9972,airbnb,Airbnb-NYC
airbnb/292800,"Sunny, Quiet West Village/Meatpacking 1BR Gem",40.73431,-74.00225,airbnb,Airbnb-NYC
airbnb/150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,40.7203,-73.98424,airbnb,Airbnb-NYC
airbnb/150989,"Sunlit 1 bedroom apt: Williamsburg, Brooklyn",40.71584,-73.96355,airbnb,Airbnb-NYC
airbnb/151199,Astoria/LIC  Private Home located near train,40.7573,-73.91488,airbnb,Airbnb-NYC
airbnb/152263,Cozy private room and bathroom in a Brownstone,40.80493,-73.94999,airbnb,Airbnb-NYC
airbnb/152819,Williamsburg 1300 sq ft 3 bedroom,40.7167,-73.95014,airbnb,Airbnb-NYC
airbnb/157673,Large  Loft Style  Studio  Space,40.68096,-73.94062,airbnb,Airbnb-NYC
airbnb/158061,Hancock Town House!-Stuyvesant Mews,40.68511,-73.91927,airbnb,Airbnb-NYC
airbnb/162493,Prime Williamsburg 3 BR with Deck,40.71174,-73.95798,airbnb,Airbnb-NYC
airbnb/18152,Manhattan Room,40.76967,-73.94831,airbnb,Airbnb-NYC
airbnb/18728,Beautiful Meatpacking District Loft,40.74261,-74.00353,airbnb,Airbnb-NYC
airbnb/19174,One bedroom Duplex Private Terrace West Village,40.73917,-74.00207,airbnb,Airbnb-NYC
airbnb/19812,2 bedroom Williamsburg Apt - Bedford L stop,40.71802,-73.95724,airbnb,Airbnb-NYC
airbnb/21456,Light-filled classic Central Park,40.79936,-73.96155,airbnb,Airbnb-NYC
airbnb/294227,Loft Suite,40.73778,-73.95366,airbnb,Airbnb-NYC
airbnb/294242,Loft Suite,40.73778,-73.95366,airbnb,Airbnb-NYC
airbnb/294259,Loft Suite,40.73778,-73.95366,airbnb,Airbnb-NYC
airbnb/294263,Loft Suite,40.73778,-73.95366,airbnb,Airbnb-NYC
airbnb/294280,Loft Suite,40.73778,-73.95366,airbnb,Airbnb-NYC
airbnb/295231,"Sunny, clean br available",40.70951,-73.95015,airbnb,Airbnb-NYC
airbnb/295998,Panoramic View Central Park & NYC,40.79131,-73.9694,airbnb,Airbnb-NYC
airbnb/296361,Nice Private Room Beauty in Queens,40.73849,-73.87232,airbnb,Airbnb-NYC
airbnb/21794,COZY QUIET monthly room 4 DOOGLERS!,40.74187,-74.00223,airbnb,Airbnb-NYC
airbnb/162508,Beautiful Brooklyn Oasis,40.67188,-73.95097,airbnb,Airbnb-NYC
airbnb/166006,Nice Manhattan Apt Near Central Park and Subway,40.79864,-73.96209,airbnb,Airbnb-NYC
airbnb/166172,Private Stay In Peaceful Artist Apartment,40.68478,-73.9066,airbnb,Airbnb-NYC
airbnb/166983,"3 BR, Beautiful Brooklyn Duplex",40.68194,-73.99708,airbnb,Airbnb-NYC
airbnb/168123,"Brooklyn- sunny, quiet, homelike-Park Slope South",40.65891,-73.98556,airbnb,Airbnb-NYC
airbnb/169483,Very close to Downtown Awesome Space,40.60602,-73.97076,airbnb,Airbnb-NYC
airbnb/170420,The Happy home!,40.79179,-73.93972,airbnb,Airbnb-NYC
airbnb/170761,"Fort Greene, Brooklyn: Front Bedroom",40.68877615321917,-73.97762359693657,airbnb,Airbnb-NYC
airbnb/171562,Chelsea studio with balcony & views,40.74937,-73.99467,airbnb,Airbnb-NYC
airbnb/23135,Priv. Room in Shared Carroll Gardens Apartment,40.67795402789584,-74.00098545082103,airbnb,Airbnb-NYC
airbnb/23545,Upper Upper West Side Garden Apartment Townhouse,40.82825,-73.95138,airbnb,Airbnb-NYC
airbnb/24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,40.67115,-73.98026,airbnb,Airbnb-NYC
airbnb/25406,Modern Brooklyn Apartment rental,40.71649,-73.94865,airbnb,Airbnb-NYC
airbnb/25696,Hague House,40.8102731,-73.9431546,airbnb,Airbnb-NYC
airbnb/298759,Large Double Room  Queenbed Wifi,40.68435,-73.94825,airbnb,Airbnb-NYC
airbnb/299062,1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng,40.77433,-73.95339,airbnb,Airbnb-NYC
airbnb/299531,Feel like you never leave your home,40.66646,-73.89254,airbnb,Airbnb-NYC
airbnb/301372,room with very nice view in Brooklyn,40.6857,-73.97388,airbnb,Airbnb-NYC
airbnb/302238,GORGEOUS TWO BEDROOM FLAT IN MANHATTAN,40.80752,-73.94778,airbnb,Airbnb-NYC
airbnb/302280,FABULOUS 1 BEDROOM IN MANHATTAN,40.8058,-73.94759,airbnb,Airbnb-NYC
airbnb/302309,PLUSH AND SPACIOUS 2-BEDROOM IN NYC,40.80528,-73.94742,airbnb,Airbnb-NYC
airbnb/302705,Wonderful Room on the UES 2,40.77298,-73.95813,airbnb,Airbnb-NYC
airbnb/26785,Park Slope Green Guest House,40.6686,-73.98723,airbnb,Airbnb-NYC
airbnb/173151,spacious room,40.72852,-73.95655,airbnb,Airbnb-NYC
airbnb/174966,Luxury 2Bed/2.5Bath Central Park View,40.7751,-73.98595,airbnb,Airbnb-NYC
airbnb/176135,Cosy Sunny 1brm in Prospect Heights,40.67545,-73.96096,airbnb,Airbnb-NYC
airbnb/177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",40.74088,-73.99538,airbnb,Airbnb-NYC
airbnb/179670,High-end doorman bldg in the LES,40.72113,-73.98213,airbnb,Airbnb-NYC
airbnb/182069,Cozy entire studio Apartment,40.78959,-73.94705,airbnb,Airbnb-NYC
airbnb/188674,UNION SQUARE/ E. VILL 1BR BEAUTIFUL,40.73345,-73.98809,airbnb,Airbnb-NYC
airbnb/188803,"Fort Greene, Brooklyn: Back Bedroom",40.6879299,-73.97646399999999,airbnb,Airbnb-NYC
airbnb/189135,Hell's Kitchen Funky 80s Hideaway!,40.76263,-73.99401,airbnb,Airbnb-NYC
airbnb/27883,East Village Sanctuary,40.72421,-73.98509,airbnb,Airbnb-NYC
airbnb/28907,Garden studio in the Upper East Sid,40.77827,-73.94669,airbnb,Airbnb-NYC
airbnb/29013,Cozy Gorgeous Room,40.68288,-73.95646,airbnb,Airbnb-NYC
airbnb/29628,"Comfortable, Sunny Room",40.68292,-73.96381,airbnb,Airbnb-NYC
airbnb/31130,Entire apartment _Most central location!,40.7672,-73.98464,airbnb,Airbnb-NYC
