nta2020,airbnb,bar,hotel,nightclub,pub,restaurant,nightlife_total,accommodation_total,total_count
SI0204,10,1,5,0,0,37,1,15,53
SI0291,0,0,0,0,0,0,0,0,0
SI0301,0,0,0,0,0,4,0,0,4
SI0302,15,2,0,0,3,55,5,15,75
SI0303,2,1,1,0,0,14,1,3,18
SI0304,11,1,0,0,0,17,1,11,29
SI0305,4,2,0,0,0,38,2,4,44
SI0391,0,2,0,0,0,5,2,0,7
SI9561,0,0,1,0,0,0,0,1,1
SI9591,0,0,0,0,0,0,0,0,0
SI9592,1,0,0,0,0,0,0,1,1
SI9593,0,0,0,0,0,0,0,0,0
