osm_id,name,lat,lon,poi_type,borough_query
node/2652371191,V&T Pizzeria,40.8033532,-73.9638344,restaurant,Manhattan
node/2705165970,,40.8505216,-73.9649312,restaurant,Manhattan
node/2706606330,Insomnia Cookies,40.8034774,-73.9637428,restaurant,Manhattan
node/2745436339,Sempre Oggi,40.7803309,-73.9799393,restaurant,Manhattan
node/2745500689,New Cottage Restaurant,40.7831711,-73.980799,restaurant,Manhattan
node/2745543217,Swagat,40.7835143,-73.9778183,restaurant,Manhattan
node/2745558099,Uno Pizzeria & Grill,40.7832166,-73.9748026,restaurant,Manhattan
node/2745602443,La Sirène,40.7838129,-73.978072,restaurant,Manhattan
node/2757387164,Tiki Chick,40.7868369,-73.9753999,bar,Manhattan
node/2758255864,Bodega 88,40.7874733,-73.9712259,restaurant,Manhattan
node/2758274712,Vive La Crepe!,40.7863208,-73.9725206,restaurant,Manhattan
node/2758547204,Mila Cafe,40.7914865,-73.9688503,restaurant,Manhattan
node/2758640952,Peacefood Cafe,40.7852776,-73.9770179,restaurant,Manhattan
node/2758640953,Florentin,40.7859091,-73.9765477,bar,Manhattan
node/2758662008,New Kam Lai,40.7869241,-73.9758011,restaurant,Manhattan
node/2758709691,Maison Pickle,40.7870205,-73.9779679,restaurant,Manhattan
node/2758752391,Hotel Belnord,40.788788,-73.9752734,hotel,Manhattan
node/2759055223,Bodrum,40.7893232,-73.9740535,restaurant,Manhattan
node/2759055296,Yavsouvlaki,40.7895922,-73.9738568,restaurant,Manhattan
node/2759055318,Dragon 89,40.7900181,-73.9735411,restaurant,Manhattan
node/2759055341,Chick Chick,40.7902226,-73.9733936,restaurant,Manhattan
node/2759235699,Holy Schnitzel,40.7914735,-73.9724809,restaurant,Manhattan
node/2759235829,Talia's Steakhouse,40.7919611,-73.9721475,restaurant,Manhattan
node/2759235843,Shawarma Shabazi,40.7920135,-73.9721099,restaurant,Manhattan
node/2759235855,Sushi Tokyo,40.7917348,-73.9723098,restaurant,Manhattan
node/2759308655,Rancho Tequileria,40.7933325,-73.9711112,restaurant,Manhattan
node/2759308678,La Nueva Victoria Restaurant,40.7937683,-73.972093,restaurant,Manhattan
node/2759308679,The Hotel Newton,40.7935439,-73.9722622,hotel,Manhattan
node/2759522536,Baazi,40.7955918,-73.9707481,restaurant,Manhattan
node/2761444458,Broadway Dive,40.7978913,-73.9690987,bar,Manhattan
node/2761464888,Flor De Mayo,40.7977664,-73.9698654,restaurant,Manhattan
node/2761499681,Sal & Carmine Pizza,40.7983365,-73.9694327,restaurant,Manhattan
node/2761520411,Ollie's,40.799428,-73.9687022,restaurant,Manhattan
node/2761520412,Cajun Halal Platters,40.7995109,-73.968661,restaurant,Manhattan
node/2761520418,Zurna,40.7997453,-73.9685447,restaurant,Manhattan
node/2761533833,Café du Soleil,40.8000965,-73.9683967,restaurant,Manhattan
node/2761564518,Traviata Pizza II,40.8012195,-73.9681803,restaurant,Manhattan
node/2761564519,Columns Wine Bar,40.8009462,-73.9676253,bar,Manhattan
node/2761570403,Benny’s Chao King,40.7982983,-73.9638001,restaurant,Manhattan
node/2761578489,Longwood Fish Market,40.7980144,-73.9635291,restaurant,Manhattan
node/2761593514,Saiguette,40.7990256,-73.9627891,restaurant,Manhattan
node/2761630143,Hinds Hall,40.8005107,-73.9654148,restaurant,Manhattan
node/2761641648,Halal Chicks,40.7999441,-73.9621165,restaurant,Manhattan
node/2761641649,Super Nice Pizza,40.8015676,-73.9646575,restaurant,Manhattan
node/2761651148,Lion's Head Tavern,40.802193,-73.9641798,bar,Manhattan
node/2761663411,Mizu Hibachi,40.8007904,-73.9656898,restaurant,Manhattan
node/2761663412,Bánh Shop House,40.8008545,-73.9656397,restaurant,Manhattan
node/2761671640,Amity Hall Uptown,40.802258,-73.9646355,restaurant,Manhattan
node/2761677763,Suite,40.8025473,-73.9644019,pub,Manhattan
node/2761677767,Roti Roll (Bombay Frankie),40.8025909,-73.9643696,restaurant,Manhattan
node/2765266916,Koronet Pizza,40.8044412,-73.9661746,restaurant,Manhattan
node/2765363739,Sapps,40.8055983,-73.9653069,restaurant,Manhattan
