station_id,name,borough,lat,lng
196,Aqueduct Racetrack (A),Queens,40.672096,-73.83592
43,Parkside Av (Q),Brooklyn,40.655293,-73.961494
144,Dyckman St (A),Manhattan,40.86549,-73.92727
386,Mt Eden Av (4),Bronx,40.844433,-73.91469
268,"65 St (M,R)",Queens,40.74967,-73.89845
262,"67 Av (M,R)",Queens,40.726524,-73.85272
54,"Sheepshead Bay (B,Q)",Brooklyn,40.586895,-73.954155
385,176 St (4),Bronx,40.84848,-73.9118
624,"Chambers St/WTC/Park Place/Cortlandt St (2,3,A,C,E,R,W)",Manhattan,40.712605,-74.00955
93,"Chauncey St (J,Z)",Brooklyn,40.68289,-73.91045
336,"Hoyt St (2,3)",Brooklyn,40.690544,-73.98506
50,Avenue M (Q),Brooklyn,40.61762,-73.9594
282,21 St (G),Queens,40.744064,-73.94972
154,"116 St (C,B)",Manhattan,40.805084,-73.95488
340,"Grand Army Plaza (2,3)",Brooklyn,40.675236,-73.97105
324,Houston St (1),Manhattan,40.728252,-74.00536
88,"Norwood Av (J,Z)",Brooklyn,40.68141,-73.880035
501,St George (SIR),Staten Island,40.64375,-74.07365
361,Buhre Av (6),Bronx,40.84681,-73.832565
41,"7 Av (B,Q)",Brooklyn,40.67705,-73.97237
602,"14 St-Union Sq (4,5,6,L,N,Q,R,W)",Manhattan,40.735065,-73.99042
99,"Lorimer St (M,J)",Brooklyn,40.70387,-73.94741
461,"Queensboro Plaza (7,N,W)",Queens,40.750584,-73.9402
168,"Spring St (C,E)",Manhattan,40.726227,-74.00374
351,Van Siclen Av (3),Brooklyn,40.665447,-73.8894
316,50 St (1),Manhattan,40.761726,-73.98385
234,East Broadway (F),Manhattan,40.713715,-73.99017
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,40.63997,-73.94841
228,"23 St (F,M)",Manhattan,40.742878,-73.99282
66,18 Av (D),Brooklyn,40.607952,-74.00174
325,Canal St (1),Manhattan,40.722855,-74.00628
192,Rockaway Blvd (A),Queens,40.680428,-73.84386
152,"135 St (C,B)",Manhattan,40.817894,-73.94765
252,Avenue X (F),Brooklyn,40.58962,-73.97425
460,33 St-Rawson St (7),Queens,40.744587,-73.931
444,Gun Hill Rd (5),Bronx,40.869526,-73.84638
298,207 St (1),Manhattan,40.86462,-73.91882
438,"135 St (2,3)",Manhattan,40.814228,-73.94077
64,71 St (D),Brooklyn,40.61959,-73.99886
210,Norwood-205 St (D),Bronx,40.87481,-73.87885
259,"Kew Gardens-Union Tpke (E,F)",Queens,40.71444,-73.83101
191,88 St (A),Queens,40.679844,-73.85147
169,"Canal St (A,C,E)",Manhattan,40.720825,-74.005226
48,Avenue H (Q),Brooklyn,40.62927,-73.96164
TRAM1,RI Tramway (Manhattan),Manhattan,40.761337,-73.96416
223,"Lexington Av/63 St (M,Q)",Manhattan,40.76463,-73.96611
16,"8 St-NYU (R,W)",Manhattan,40.730328,-73.99263
9,"57 St-7 Av (N,Q,R,W)",Manhattan,40.764664,-73.98066
111,Seneca Av (M),Queens,40.702763,-73.90774
87,"Crescent St (J,Z)",Brooklyn,40.683193,-73.87379
248,Avenue N (F),Brooklyn,40.61514,-73.9742
407,Astor Pl (6),Manhattan,40.730053,-73.99107
215,"Tremont Av (B,D)",Bronx,40.85041,-73.90523
296,Marble Hill-225 St (1),Manhattan,40.87456,-73.90983
