layer,break_index,value
stations,0,1.0
stations,1,29.0
stations,2,92.0
stations,3,200.0
stations,4,456.0
stations,5,22386.0
census_tract,0,1.0
census_tract,1,32.0
census_tract,2,98.0
census_tract,3,213.0
census_tract,4,485.0
census_tract,5,22386.0
nta,0,1.0
nta,1,90.0
nta,2,273.0
nta,3,602.0
nta,4,1366.0
nta,5,72970.0
cdta,0,1.0
cdta,1,213.0
cdta,2,655.0
cdta,3,1516.0
cdta,4,3426.0
cdta,5,117489.0
