layer,break_index,value
stations,0,1.0
stations,1,12.0
stations,2,32.0
stations,3,89.0
stations,4,225.0
stations,5,1204.0
census_tract,0,1.0
census_tract,1,14.0
census_tract,2,38.0
census_tract,3,106.0
census_tract,4,296.0
census_tract,5,1506.0
nta,0,1.0
nta,1,13.0
nta,2,34.0
nta,3,94.0
nta,4,302.0
nta,5,1803.0
cdta,0,1.0
cdta,1,16.0
cdta,2,43.0
cdta,3,117.0
cdta,4,324.0
cdta,5,1803.0
