id,lat,lon
3005,34.0485,-118.25854
3006,34.04554,-118.25667
3007,34.05048,-118.25459
3008,34.04661,-118.26273
3010,34.03705,-118.25487
3011,34.04157,-118.26735
3014,34.05661,-118.23721
3016,34.0529,-118.24156
3018,34.04373,-118.26014
3019,34.03861,-118.26086
3020,34.03105,-118.26709
3022,34.04607,-118.23309
3024,34.05772,-118.24897
3025,34.03286,-118.26808
3026,34.06318,-118.24588
3027,34.04998,-118.24716
3028,34.05832,-118.24609
3030,34.05194,-118.24353
3032,34.04989,-118.25588
3033,34.04099,-118.2558
3034,34.04206,-118.26338
3035,34.0484,-118.26095
3036,34.03919,-118.23253
3037,34.0348,-118.23128
3040,34.05357,-118.26636
3042,34.0493,-118.23881
3045,34.02851,-118.25667
3046,34.05287,-118.24749
3047,34.03998,-118.2664
3048,34.04169,-118.23535
3049,34.05697,-118.25359
3052,34.0511,-118.26456
3054,34.03922,-118.23649
3056,34.03746,-118.26538
3058,34.0358,-118.23317
3062,34.04775,-118.24317
3063,34.04804,-118.25374
3064,34.04613,-118.25759
3065,34.06056,-118.23833
3066,34.06339,-118.23616
3067,34.04518,-118.25024
3068,34.0532,-118.25095
3069,34.05088,-118.24825
3074,34.04417,-118.26117
3075,34.04211,-118.25619
3076,34.0406,-118.25384
3077,34.03987,-118.25004
3078,34.06428,-118.23894
3079,34.05014,-118.23319
3081,34.03189,-118.25018
3082,34.04652,-118.23741
4202,33.99116,-118.46829
4204,33.98842,-118.45163
4205,33.99377,-118.45367
4206,33.99834,-118.46101
4207,34.00088,-118.46891
4208,33.99868,-118.47298
4209,33.99624,-118.47745
4210,33.98434,-118.47155
4211,33.98493,-118.46996
4212,33.98813,-118.47174
4213,33.99537,-118.4648
4214,33.99556,-118.48155
4215,34.01431,-118.49134
4216,34.02339,-118.47964
4217,34.04031,-118.25827
4220,34.07483,-118.25873
4227,34.0298,-118.27031
4245,34.02404,-118.28341
4246,34.02371,-118.27917
4247,34.03364,-118.29131
4248,34.02835,-118.28867
4249,34.0203,-118.28118
4250,34.03017,-118.28095
4254,34.02868,-118.28411
4255,33.97366,-118.42286
4266,34.02629,-118.27769
4267,34.02762,-118.28068
4273,34.02586,-118.2841
4275,34.01252,-118.2859
4293,34.06228,-118.27152
4300,34.04887,-118.2743
4301,34.09905,-118.2915
4302,34.09249,-118.29144
4303,34.09801,-118.28707
4304,34.06258,-118.29009
4306,34.05765,-118.29218
4311,34.05969,-118.29466
4312,34.06699,-118.29088
4313,34.05681,-118.275
4314,34.05771,-118.27976
4315,34.05403,-118.27092
4387,34.03352,-118.24184
4390,34.06927,-118.29659
4401,34.07561,-118.29186
4404,34.04813,-118.27103
4405,34.0519,-118.29368
4406,34.10189,-118.30061
4410,34.06335,-118.2968
4436,34.10578,-118.29194
4437,34.10536,-118.28727
4438,34.09493,-118.28456
4439,34.09097,-118.28625
4440,34.06166,-118.29824
4441,34.02662,-118.28181
4442,34.098,-118.30047
4443,34.02209,-118.27979
4444,34.06162,-118.30557
4445,34.07364,-118.25157
4446,34.05323,-118.27842
4447,34.0616,-118.28199
4448,34.03027,-118.27319
4449,34.04557,-118.27419
4450,34.06349,-118.28716
4451,34.10363,-118.29131
4452,34.10233,-118.28746
4453,34.0826,-118.28439
4454,34.0179,-118.29172
4455,34.10936,-118.27181
4456,34.05243,-118.30202
4457,34.10011,-118.28986
4472,34.0926,-118.28093
4473,34.07159,-118.28229
4474,34.11003,-118.28716
4475,34.04518,-118.24325
4476,34.08252,-118.27272
4477,34.10385,-118.32546
4478,34.10424,-118.2737
4479,34.0315,-118.28874
4480,34.05896,-118.25059
4482,34.09437,-118.33101
4483,34.1007,-118.25912
4486,34.06126,-118.2586
